,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,PMID,Unnamed: 0.1,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Unnamed: 0
6831,True,False,True,False,True,25127241,30542,Integrating transcriptomics with metabolic modeling predicts biomarkers and drug targets for Alzheimer's disease,"Stempler S, Yizhak K, Ruppin E.",PLoS One. 2014 Aug 15;9(8):e105383. doi: 10.1371/journal.pone.0105383. eCollection 2014.,Stempler S,PLoS One,2014,2014/08/16,PMC4134302,,10.1371/journal.pone.0105383,
6833,True,False,True,False,False,25157361,30488,Towards understanding the roles of heparan sulfate proteoglycans in Alzheimer's disease,"Zhang GL, Zhang X, Wang XM, Li JP.",Biomed Res Int. 2014;2014:516028. doi: 10.1155/2014/516028. Epub 2014 Jul 23.,Zhang GL,Biomed Res Int,2014,2014/08/27,PMC4135094,,10.1155/2014/516028,
6837,False,False,True,False,False,24650605,31347,Improved DTI registration allows voxel-based analysis that outperforms tract-based spatial statistics,"Schwarz CG, Reid RI, Gunter JL, Senjem ML, Przybelski SA, Zuk SM, Whitwell JL, Vemuri P, Josephs KA, Kantarci K, Thompson PM, Petersen RC, Jack CR Jr; Alzheimer's Disease Neuroimaging Initiative.",Neuroimage. 2014 Jul 1;94:65-78. doi: 10.1016/j.neuroimage.2014.03.026. Epub 2014 Mar 18.,Schwarz CG,Neuroimage,2014,2014/03/22,PMC4137565,NIHMS619583,10.1016/j.neuroimage.2014.03.026,
6845,True,False,True,False,False,25140899,30520,Deciphering the glycolipid code of Alzheimer's and Parkinson's amyloid proteins allowed the creation of a universal ganglioside-binding peptide,"Yahi N, Fantini J.",PLoS One. 2014 Aug 20;9(8):e104751. doi: 10.1371/journal.pone.0104751. eCollection 2014.,Yahi N,PLoS One,2014,2014/08/21,PMC4139322,,10.1371/journal.pone.0104751,
6846,True,False,True,False,True,25141298,30518,Predicting progression of Alzheimer's disease using ordinal regression,"Doyle OM, Westman E, Marquand AF, Mecocci P, Vellas B, Tsolaki M, Kłoszewska I, Soininen H, Lovestone S, Williams SC, Simmons A.",PLoS One. 2014 Aug 20;9(8):e105542. doi: 10.1371/journal.pone.0105542. eCollection 2014.,Doyle OM,PLoS One,2014,2014/08/21,PMC4139338,,10.1371/journal.pone.0105542,
6847,True,False,True,False,False,25141174,30519,Molecular investigations of protriptyline as a multi-target directed ligand in Alzheimer's disease,"Bansode SB, Jana AK, Batkulwar KB, Warkad SD, Joshi RS, Sengupta N, Kulkarni MJ.",PLoS One. 2014 Aug 20;9(8):e105196. doi: 10.1371/journal.pone.0105196. eCollection 2014.,Bansode SB,PLoS One,2014,2014/08/21,PMC4139341,,10.1371/journal.pone.0105196,
6848,True,False,True,False,False,25140532,30523,An efficient approach for differentiating Alzheimer's disease from normal elderly based on multicenter MRI using gray-level invariant features,"Li M, Oishi K, He X, Qin Y, Gao F, Mori S; Alzheimer's Disease Neuroimaging Initiative.",PLoS One. 2014 Aug 20;9(8):e105563. doi: 10.1371/journal.pone.0105563. eCollection 2014.,Li M,PLoS One,2014,2014/08/21,PMC4139346,,10.1371/journal.pone.0105563,
6853,True,True,False,False,False,25142265,30516,Acupuncture for patients with Alzheimer's disease: a systematic review protocol,"Zhou J, Peng W, Li W, Liu Z.",BMJ Open. 2014 Aug 20;4(8):e005896. doi: 10.1136/bmjopen-2014-005896.,Zhou J,BMJ Open,2014,2014/08/22,PMC4139638,,10.1136/bmjopen-2014-005896,
6858,True,False,True,False,False,25144803,30506,Immunoprecipitation of amyloid fibrils by the use of an antibody that recognizes a generic epitope common to amyloid fibrils,"Greiner ER, Kelly JW, Palhano FL.",PLoS One. 2014 Aug 21;9(8):e105433. doi: 10.1371/journal.pone.0105433. eCollection 2014.,Greiner ER,PLoS One,2014,2014/08/22,PMC4140755,,10.1371/journal.pone.0105433,
6861,True,False,True,False,False,25144755,30507,Famous landmark identification in amnestic mild cognitive impairment and Alzheimer's disease,"Sheardova K, Laczó J, Vyhnalek M, Andel R, Mokrisova I, Vlcek K, Amlerova J, Hort J.",PLoS One. 2014 Aug 21;9(8):e105623. doi: 10.1371/journal.pone.0105623. eCollection 2014.,Sheardova K,PLoS One,2014,2014/08/22,PMC4140812,,10.1371/journal.pone.0105623,
6868,True,False,True,False,True,25148207,30501,Genome-wide analysis of miRNA signature in the APPswe/PS1ΔE9 mouse model of alzheimer's disease,"Luo H, Wu Q, Ye X, Xiong Y, Zhu J, Xu J, Diao Y, Zhang D, Wang M, Qiu J, Miao J, Zhang W, Wan J.",PLoS One. 2014 Aug 22;9(8):e101725. doi: 10.1371/journal.pone.0101725. eCollection 2014.,Luo H,PLoS One,2014,2014/08/23,PMC4141691,,10.1371/journal.pone.0101725,
6873,True,False,True,False,False,25161900,30479,Detection of volume loss in hippocampal layers in Alzheimer's disease using 7 T MRI: a feasibility study,"Boutet C, Chupin M, Lehéricy S, Marrakchi-Kacem L, Epelbaum S, Poupon C, Wiggins C, Vignaud A, Hasboun D, Defontaines B, Hanon O, Dubois B, Sarazin M, Hertz-Pannier L, Colliot O.",Neuroimage Clin. 2014 Jul 31;5:341-8. doi: 10.1016/j.nicl.2014.07.011. eCollection 2014.,Boutet C,Neuroimage Clin,2014,2014/08/28,PMC4141975,,10.1016/j.nicl.2014.07.011,
6877,True,False,True,False,False,25153701,30494,"A small molecule p75NTR ligand, LM11A-31, reverses cholinergic neurite dystrophy in Alzheimer's disease mouse models with mid- to late-stage disease progression","Simmons DA, Knowles JK, Belichenko NP, Banerjee G, Finkle C, Massa SM, Longo FM.",PLoS One. 2014 Aug 25;9(8):e102136. doi: 10.1371/journal.pone.0102136. eCollection 2014.,Simmons DA,PLoS One,2014,2014/08/26,PMC4143160,,10.1371/journal.pone.0102136,
6878,True,False,True,False,False,25153931,30493,Prioritizing candidate disease metabolites based on global functional relationships between metabolites in the context of metabolic pathways,"Shang D, Li C, Yao Q, Yang H, Xu Y, Han J, Li J, Su F, Zhang Y, Zhang C, Li D, Li X.",PLoS One. 2014 Aug 25;9(8):e104934. doi: 10.1371/journal.pone.0104934. eCollection 2014.,Shang D,PLoS One,2014,2014/08/26,PMC4143229,,10.1371/journal.pone.0104934,
6880,True,False,True,False,True,25153994,30492,Tau overexpression impacts a neuroinflammation gene expression network perturbed in Alzheimer's disease,"Wes PD, Easton A, Corradi J, Barten DM, Devidze N, DeCarr LB, Truong A, He A, Barrezueta NX, Polson C, Bourin C, Flynn ME, Keenan S, Lidge R, Meredith J, Natale J, Sankaranarayanan S, Cadelina GW, Albright CF, Cacace AM.",PLoS One. 2014 Aug 25;9(8):e106050. doi: 10.1371/journal.pone.0106050. eCollection 2014.,Wes PD,PLoS One,2014,2014/08/26,PMC4143352,,10.1371/journal.pone.0106050,
6881,True,False,True,False,False,25153085,30496,Changes in white matter integrity before conversion from mild cognitive impairment to Alzheimer's disease,"Defrancesco M, Egger K, Marksteiner J, Esterhammer R, Hinterhuber H, Deisenhammer EA, Schocke M.",PLoS One. 2014 Aug 25;9(8):e106062. doi: 10.1371/journal.pone.0106062. eCollection 2014.,Defrancesco M,PLoS One,2014,2014/08/26,PMC4143363,,10.1371/journal.pone.0106062,
6882,True,False,True,False,True,25112168,30576,"De novo transcriptome sequencing and digital gene expression analysis predict biosynthetic pathway of rhynchophylline and isorhynchophylline from Uncaria rhynchophylla, a non-model plant with potent anti-alzheimer's properties","Guo Q, Ma X, Wei S, Qiu D, Wilson IW, Wu P, Tang Q, Liu L, Dong S, Zu W.",BMC Genomics. 2014 Aug 12;15(1):676. doi: 10.1186/1471-2164-15-676.,Guo Q,BMC Genomics,2014,2014/08/13,PMC4143583,,10.1186/1471-2164-15-676,
6893,False,False,True,False,False,25180158,30447,Regional functional connectivity predicts distinct cognitive impairments in Alzheimer's disease spectrum,"Ranasinghe KG, Hinkley LB, Beagle AJ, Mizuiri D, Dowling AF, Honma SM, Finucane MM, Scherling C, Miller BL, Nagarajan SS, Vossel KA.",Neuroimage Clin. 2014 Jul 23;5:385-95. doi: 10.1016/j.nicl.2014.07.006. eCollection 2014.,Ranasinghe KG,Neuroimage Clin,2014,2014/09/03,PMC4145532,,10.1016/j.nicl.2014.07.006,
6894,False,False,True,False,False,24935028,30879,'The living death of Alzheimer's' versus 'Take a walk to keep dementia at bay': representations of dementia in print media and carer discourse,Peel E.,Sociol Health Illn. 2014 Jul;36(6):885-901. doi: 10.1111/1467-9566.12122. Epub 2014 Jun 17.,Peel E,Sociol Health Illn,2014,2014/06/18,PMC4145707,,10.1111/1467-9566.12122,
6897,True,False,True,False,False,25129614,30536,"Soluble amyloid beta levels are elevated in the white matter of Alzheimer's patients, independent of cortical plaque severity","Collins-Praino LE, Francis YI, Griffith EY, Wiegman AF, Urbach J, Lawton A, Honig LS, Cortes E, Vonsattel JP, Canoll PD, Goldman JE, Brickman AM.",Acta Neuropathol Commun. 2014 Aug 17;2:83. doi: 10.1186/s40478-014-0083-0.,Collins-Praino LE,Acta Neuropathol Commun,2014,2014/08/18,PMC4147157,,10.1186/s40478-014-0083-0,
6901,True,False,True,False,False,25161248,30482,Transcriptome-guided amyloid imaging genetic analysis via a novel structured sparse learning algorithm,"Yan J, Du L, Kim S, Risacher SL, Huang H, Moore JH, Saykin AJ, Shen L; Alzheimer’s Disease Neuroimaging Initiative.",Bioinformatics. 2014 Sep 1;30(17):i564-71. doi: 10.1093/bioinformatics/btu465.,Yan J,Bioinformatics,2014,2014/08/28,PMC4147918,,10.1093/bioinformatics/btu465,
6902,True,False,True,False,False,24240735,32079,The role of pro-inflammatory S100A9 in Alzheimer's disease amyloid-neuroinflammatory cascade,"Wang C, Klechikov AG, Gharibyan AL, Wärmländer SK, Jarvet J, Zhao L, Jia X, Narayana VK, Shankar SK, Olofsson A, Brännström T, Mu Y, Gräslund A, Morozova-Roche LA.",Acta Neuropathol. 2014 Apr;127(4):507-22. doi: 10.1007/s00401-013-1208-4. Epub 2013 Nov 16.,Wang C,Acta Neuropathol,2014,2013/11/19,PMC4148179,,10.1007/s00401-013-1208-4,
6905,True,False,True,False,False,25166759,30468,Biochemical assessment of precuneus and posterior cingulate gyrus in the context of brain aging and Alzheimer's disease,"Maarouf CL, Kokjohn TA, Walker DG, Whiteside CM, Kalback WM, Whetzel A, Sue LI, Serrano G, Jacobson SA, Sabbagh MN, Reiman EM, Beach TG, Roher AE.",PLoS One. 2014 Aug 28;9(8):e105784. doi: 10.1371/journal.pone.0105784. eCollection 2014.,Maarouf CL,PLoS One,2014,2014/08/29,PMC4148328,,10.1371/journal.pone.0105784,
6908,True,False,True,False,False,24974208,30802,Reducing hippocampal extracellular matrix reverses early memory deficits in a mouse model of Alzheimer's disease,"Végh MJ, Heldring CM, Kamphuis W, Hijazi S, Timmerman AJ, Li KW, van Nierop P, Mansvelder HD, Hol EM, Smit AB, van Kesteren RE.",Acta Neuropathol Commun. 2014 Jun 29;2:76. doi: 10.1186/s40478-014-0076-z.,Végh MJ,Acta Neuropathol Commun,2014,2014/06/30,PMC4149201,,10.1186/s40478-014-0076-z,
6910,True,False,True,False,False,25027113,30723,Altered distribution of the EphA4 kinase in hippocampal brain tissue of patients with Alzheimer's disease correlates with pathology,"Rosenberger AF, Rozemuller AJ, van der Flier WM, Scheltens P, van der Vies SM, Hoozemans JJ.",Acta Neuropathol Commun. 2014 Jul 16;2:79. doi: 10.1186/s40478-014-0079-9.,Rosenberger AF,Acta Neuropathol Commun,2014,2014/07/17,PMC4149234,,10.1186/s40478-014-0079-9,
6915,True,False,True,False,False,25171136,30461,Relationships between the circadian system and Alzheimer's disease-like symptoms in Drosophila,"Long DM, Blake MR, Dutta S, Holbrook SD, Kotwica-Rolinska J, Kretzschmar D, Giebultowicz JM.",PLoS One. 2014 Aug 29;9(8):e106068. doi: 10.1371/journal.pone.0106068. eCollection 2014.,Long DM,PLoS One,2014,2014/08/30,PMC4149435,,10.1371/journal.pone.0106068,
6917,True,False,True,False,False,25116835,30563,Plasma DYRK1A as a novel risk factor for Alzheimer's disease,"Janel N, Sarazin M, Corlier F, Corne H, de Souza LC, Hamelin L, Aka A, Lagarde J, Blehaut H, Hindié V, Rain JC, Arbones ML, Dubois B, Potier MC, Bottlaender M, Delabar JM.",Transl Psychiatry. 2014 Aug 12;4(8):e425. doi: 10.1038/tp.2014.61.,Janel N,Transl Psychiatry,2014,2014/08/14,PMC4150238,,10.1038/tp.2014.61,
6918,True,False,True,False,False,25197646,30418,Microglia in Alzheimer's disease,"Li Y, Tan MS, Jiang T, Tan L.",Biomed Res Int. 2014;2014:437483. doi: 10.1155/2014/437483. Epub 2014 Aug 14.,Li Y,Biomed Res Int,2014,2014/09/09,PMC4150406,,10.1155/2014/437483,
6919,True,False,True,False,False,25197672,30416,Brain aging and AD-like pathology in streptozotocin-induced diabetic rats,"Wang JQ, Yin J, Song YF, Zhang L, Ren YX, Wang DG, Gao LP, Jing YH.",J Diabetes Res. 2014;2014:796840. doi: 10.1155/2014/796840. Epub 2014 Aug 14.,Wang JQ,J Diabetes Res,2014,2014/09/09,PMC4150474,,10.1155/2014/796840,
6921,True,False,True,False,False,25197660,30417,Alzheimer's disease and HLA-A2: linking neurodegenerative to immune processes through an in silico approach,"Cifuentes RA, Murillo-Rojas J.",Biomed Res Int. 2014;2014:791238. doi: 10.1155/2014/791238. Epub 2014 Aug 17.,Cifuentes RA,Biomed Res Int,2014,2014/09/09,PMC4150521,,10.1155/2014/791238,
6922,True,False,True,False,False,25169757,30464,"An intronic PICALM polymorphism, rs588076, is associated with allelic expression of a PICALM isoform","Parikh I, Medway C, Younkin S, Fardo DW, Estus S.",Mol Neurodegener. 2014 Aug 29;9:32. doi: 10.1186/1750-1326-9-32.,Parikh I,Mol Neurodegener,2014,2014/08/30,PMC4150683,,10.1186/1750-1326-9-32,
6923,True,False,True,False,False,25073452,30644,Associations between APOE and low-density lipoprotein cholesterol genotypes and cognitive and physical capability: the HALCyon programme,"Alfred T, Ben-Shlomo Y, Cooper R, Hardy R, Cooper C, Deary IJ, Elliott J, Gunnell D, Harris SE, Kivimaki M, Kumari M, Martin RM, Power C, Sayer AA, Starr JM, Kuh D, Day IN; HALCyon Study Team.",Age (Dordr). 2014;36(4):9673. doi: 10.1007/s11357-014-9673-9. Epub 2014 Jul 30.,Alfred T,Age (Dordr),2014,2014/07/31,PMC4150901,,10.1007/s11357-014-9673-9,
6924,True,False,True,False,False,25131945,30533,Detection of disease-associated α-synuclein in the cerebrospinal fluid: a feasibility study,"Unterberger U, Lachmann I, Voigtländer T, Pirker W, Berghoff AS, Flach K, Wagner U, Geneste A, Perret-Liaudet A, Kovacs GG.",Clin Neuropathol. 2014 Sep-Oct;33(5):329-34. doi: 10.5414/np300796.,Unterberger U,Clin Neuropathol,2014,2014/08/19,PMC4151342,,10.5414/np300796,
6927,False,False,True,False,False,23998300,32423,A cognitive chameleon: lessons from a novel MAPT mutation case,"Liang Y, Gordon E, Rohrer J, Downey L, de Silva R, Jäger HR, Nicholas J, Modat M, Cardoso MJ, Mahoney C, Warren J, Rossor M, Fox N, Caine D.",Neurocase. 2014;20(6):684-94. doi: 10.1080/13554794.2013.826697. Epub 2013 Sep 2.,Liang Y,Neurocase,2014,2013/09/04,PMC4151790,,10.1080/13554794.2013.826697,
6929,True,False,True,False,False,25181487,30445,Spared piriform cortical single-unit odor processing and odor discrimination in the Tg2576 mouse model of Alzheimer's disease,"Xu W, Lopez-Guzman M, Schoen C, Fitzgerald S, Lauer SL, Nixon RA, Levy E, Wilson DA.",PLoS One. 2014 Sep 2;9(9):e106431. doi: 10.1371/journal.pone.0106431. eCollection 2014.,Xu W,PLoS One,2014,2014/09/03,PMC4152226,,10.1371/journal.pone.0106431,
6932,True,True,True,False,False,24931567,30888,"An evaluation of MSDC-0160, a prototype mTOT modulating insulin sensitizer, in patients with mild Alzheimer's disease","Shah RC, Matthews DC, Andrews RD, Capuano AW, Fleischman DA, VanderLugt JT, Colca JR.",Curr Alzheimer Res. 2014;11(6):564-73. doi: 10.2174/1567205011666140616113406.,Shah RC,Curr Alzheimer Res,2014,2014/06/17,PMC4153084,,10.2174/1567205011666140616113406,
6938,True,False,True,False,False,25098535,30604,Vitamin D and the risk of dementia and Alzheimer disease,"Littlejohns TJ, Henley WE, Lang IA, Annweiler C, Beauchet O, Chaves PH, Fried L, Kestenbaum BR, Kuller LH, Langa KM, Lopez OL, Kos K, Soni M, Llewellyn DJ.",Neurology. 2014 Sep 2;83(10):920-8. doi: 10.1212/WNL.0000000000000755. Epub 2014 Aug 6.,Littlejohns TJ,Neurology,2014,2014/08/08,PMC4153851,,10.1212/WNL.0000000000000755,
6939,True,False,True,False,False,24595495,31441,Improved utilization of ADAS-cog assessment data through item response theory based pharmacometric modeling,"Ueckert S, Plan EL, Ito K, Karlsson MO, Corrigan B, Hooker AC; Alzheimer’s Disease Neuroimaging Initiative.",Pharm Res. 2014 Aug;31(8):2152-65. doi: 10.1007/s11095-014-1315-5. Epub 2014 Mar 5.,Ueckert S,Pharm Res,2014,2014/03/06,PMC4153970,,10.1007/s11095-014-1315-5,
6940,True,False,True,False,False,25063270,30653,Role of cognitive enhancer therapy in Alzheimer's disease with concomitant cerebral white matter disease: findings from a long-term naturalistic study,"Ng KP, Ng A, Assam P, Heng E, Kandiah N.",Drugs R D. 2014 Sep;14(3):195-203. doi: 10.1007/s40268-014-0057-5.,Ng KP,Drugs R D,2014,2014/07/27,PMC4153975,,10.1007/s40268-014-0057-5,
6943,True,False,True,False,False,25188341,30430,Genome-wide association meta-analysis of neuropathologic features of Alzheimer's disease and related dementias,"Beecham GW, Hamilton K, Naj AC, Martin ER, Huentelman M, Myers AJ, Corneveaux JJ, Hardy J, Vonsattel JP, Younkin SG, Bennett DA, De Jager PL, Larson EB, Crane PK, Kamboh MI, Kofler JK, Mash DC, Duque L, Gilbert JR, Gwirtsman H, Buxbaum JD, Kramer P, Dickson DW, Farrer LA, Frosch MP, Ghetti B, Haines JL, Hyman BT, Kukull WA, Mayeux RP, Pericak-Vance MA, Schneider JA, Trojanowski JQ, Reiman EM; Alzheimer's Disease Genetics Consortium (ADGC), Schellenberg GD, Montine TJ.",PLoS Genet. 2014 Sep 4;10(9):e1004606. doi: 10.1371/journal.pgen.1004606. eCollection 2014 Sep.,Beecham GW,PLoS Genet,2014,2014/09/05,PMC4154667,,10.1371/journal.pgen.1004606,
6945,True,False,True,False,False,22760170,34180,The value of hippocampal and temporal horn volumes and rates of change in predicting future conversion to AD,"Macdonald KE, Bartlett JW, Leung KK, Ourselin S, Barnes J; ADNI investigators.",Alzheimer Dis Assoc Disord. 2013 Apr-Jun;27(2):168-73. doi: 10.1097/WAD.0b013e318260a79a.,Macdonald KE,Alzheimer Dis Assoc Disord,2013,2012/07/05,PMC4154837,,10.1097/WAD.0b013e318260a79a,
6947,True,False,True,False,False,25187954,30434,"Brain intraventricular injection of amyloid-β in zebrafish embryo impairs cognition and increases tau phosphorylation, effects reversed by lithium","Nery LR, Eltz NS, Hackman C, Fonseca R, Altenhofen S, Guerra HN, Freitas VM, Bonan CD, Vianna MR.",PLoS One. 2014 Sep 4;9(9):e105862. doi: 10.1371/journal.pone.0105862. eCollection 2014.,Nery LR,PLoS One,2014,2014/09/05,PMC4154875,,10.1371/journal.pone.0105862,
6958,True,False,True,False,False,25215243,30387,"Proliferation in the Alzheimer hippocampus is due to microglia, not astroglia, and occurs at sites of amyloid deposition","Marlatt MW, Bauer J, Aronica E, van Haastert ES, Hoozemans JJ, Joels M, Lucassen PJ.",Neural Plast. 2014;2014:693851. doi: 10.1155/2014/693851. Epub 2014 Aug 19.,Marlatt MW,Neural Plast,2014,2014/09/13,PMC4157009,,10.1155/2014/693851,
6959,True,False,True,False,False,24588829,31454,Brain innate immunity in the regulation of neuroinflammation: therapeutic strategies by modulating CD200-CD200R interaction involve the cannabinoid system,"Hernangómez M, Carrillo-Salinas FJ, Mecha M, Correa F, Mestre L, Loría F, Feliú A, Docagne F, Guaza C.",Curr Pharm Des. 2014;20(29):4707-22. doi: 10.2174/1381612820666140130202911.,Hernangómez M,Curr Pharm Des,2014,2014/03/05,PMC4157566,,10.2174/1381612820666140130202911,
6963,True,False,True,False,False,25221640,30376,Mitochondrial dysfunction: different routes to Alzheimer's disease therapy,"Picone P, Nuzzo D, Caruana L, Scafidi V, Di Carlo M.",Oxid Med Cell Longev. 2014;2014:780179. doi: 10.1155/2014/780179. Epub 2014 Aug 20.,Picone P,Oxid Med Cell Longev,2014,2014/09/16,PMC4158152,,10.1155/2014/780179,
6965,True,False,True,False,False,24853300,31026,Crucial role of calbindin-D28k in the pathogenesis of Alzheimer's disease mouse model,"Kook SY, Jeong H, Kang MJ, Park R, Shin HJ, Han SH, Son SM, Song H, Baik SH, Moon M, Yi EC, Hwang D, Mook-Jung I.",Cell Death Differ. 2014 Oct;21(10):1575-87. doi: 10.1038/cdd.2014.67. Epub 2014 May 23.,Kook SY,Cell Death Differ,2014,2014/05/24,PMC4158683,,10.1038/cdd.2014.67,
6969,True,False,True,False,False,24923909,30896,Tonic inhibition in dentate gyrus impairs long-term potentiation and memory in an Alzheimer's [corrected] disease model,"Wu Z, Guo Z, Gearing M, Chen G.",Nat Commun. 2014 Jun 13;5:4159. doi: 10.1038/ncomms5159.,Wu Z,Nat Commun,2014,2014/06/14,PMC4159602,NIHMS597307,10.1038/ncomms5159,
6970,True,False,True,False,False,25208536,30400,Benzodiazepine use and risk of Alzheimer's disease: case-control study,"Billioti de Gage S, Moride Y, Ducruet T, Kurth T, Verdoux H, Tournier M, Pariente A, Bégaud B.",BMJ. 2014 Sep 9;349:g5205. doi: 10.1136/bmj.g5205.,Billioti de Gage S,BMJ,2014,2014/09/12,PMC4159609,,10.1136/bmj.g5205,
6971,True,False,True,False,False,25196440,30422,Neuroprotective effects of sulforaphane on cholinergic neurons in mice with Alzheimer's disease-like lesions,"Zhang R, Zhang J, Fang L, Li X, Zhao Y, Shi W, An L.",Int J Mol Sci. 2014 Aug 18;15(8):14396-410. doi: 10.3390/ijms150814396.,Zhang R,Int J Mol Sci,2014,2014/09/09,PMC4159858,,10.3390/ijms150814396,
6972,True,False,True,False,False,25208332,30402,Might cortical hyper-responsiveness in aging contribute to Alzheimer's disease?,"Jacob MS, Duffy CJ.",PLoS One. 2014 Sep 10;9(9):e105962. doi: 10.1371/journal.pone.0105962. eCollection 2014.,Jacob MS,PLoS One,2014,2014/09/11,PMC4160186,,10.1371/journal.pone.0105962,
6977,True,False,False,False,False,25243118,30347,Derailed intraneuronal signalling drives pathogenesis in sporadic and familial Alzheimer's disease,"Van Dooren T, Princen K, De Witte K, Griffioen G.",Biomed Res Int. 2014;2014:167024. doi: 10.1155/2014/167024. Epub 2014 Aug 27.,Van Dooren T,Biomed Res Int,2014,2014/09/23,PMC4160617,,10.1155/2014/167024,
6978,True,False,True,False,True,25210774,30398,Cross dimerization of amyloid-β and αsynuclein proteins in aqueous environment: a molecular dynamics simulations study,"Jose JC, Chatterjee P, Sengupta N.",PLoS One. 2014 Sep 11;9(9):e106883. doi: 10.1371/journal.pone.0106883. eCollection 2014.,Jose JC,PLoS One,2014,2014/09/12,PMC4161357,,10.1371/journal.pone.0106883,
6983,True,False,True,False,False,24614496,31393,Intraperitoneal injection of the pancreatic peptide amylin potently reduces behavioral impairment and brain amyloid pathology in murine models of Alzheimer's disease,"Zhu H, Wang X, Wallack M, Li H, Carreras I, Dedeoglu A, Hur JY, Zheng H, Li H, Fine R, Mwamburi M, Sun X, Kowall N, Stern RA, Qiu WQ.",Mol Psychiatry. 2015 Feb;20(2):252-62. doi: 10.1038/mp.2014.17. Epub 2014 Mar 11.,Zhu H,Mol Psychiatry,2015,2014/03/12,PMC4161670,NIHMS562639,10.1038/mp.2014.17,
6995,True,False,True,False,False,25153692,30495,Amplification of Tau fibrils from minute quantities of seeds,"Meyer V, Dinkel PD, Rickman Hager E, Margittai M.",Biochemistry. 2014 Sep 16;53(36):5804-9. doi: 10.1021/bi501050g. Epub 2014 Aug 29.,Meyer V,Biochemistry,2014,2014/08/26,PMC4165214,,10.1021/bi501050g,
6997,True,False,True,False,True,25226301,30371,Genetic predisposition to increased blood cholesterol and triglyceride lipid levels and risk of Alzheimer disease: a Mendelian randomization analysis,"Proitsi P, Lupton MK, Velayudhan L, Newhouse S, Fogh I, Tsolaki M, Daniilidou M, Pritchard M, Kloszewska I, Soininen H, Mecocci P, Vellas B; Alzheimer's Disease Neuroimaging Initiative, Williams J; GERAD1 Consortium, Stewart R, Sham P, Lovestone S, Powell JF.",PLoS Med. 2014 Sep 16;11(9):e1001713. doi: 10.1371/journal.pmed.1001713. eCollection 2014 Sep.,Proitsi P,PLoS Med,2014,2014/09/17,PMC4165594,,10.1371/journal.pmed.1001713,
6998,True,False,True,False,False,24938500,30867,Biomarkers of Alzheimer's disease risk in peripheral tissues; focus on buccal cells,"François M, Leifert W, Martins R, Thomas P, Fenech M.",Curr Alzheimer Res. 2014;11(6):519-31. doi: 10.2174/1567205011666140618103827.,François M,Curr Alzheimer Res,2014,2014/06/19,PMC4166904,,10.2174/1567205011666140618103827,
7009,True,False,True,True,False,24797507,31112,"Lesion Explorer: a video-guided, standardized protocol for accurate and reliable MRI-derived volumetrics in Alzheimer's disease and normal elderly","Ramirez J, Scott CJ, McNeely AA, Berezuk C, Gao F, Szilagyi GM, Black SE.",J Vis Exp. 2014 Apr 14;(86):50887. doi: 10.3791/50887.,Ramirez J,J Vis Exp,2014,2014/05/07,PMC4168739,,10.3791/50887,
7010,True,False,True,False,False,25246779,30338,"Tailored lighting intervention improves measures of sleep, depression, and agitation in persons with Alzheimer's disease and related dementia living in long-term care facilities","Figueiro MG, Plitnick BA, Lok A, Jones GE, Higgins P, Hornick TR, Rea MS.",Clin Interv Aging. 2014 Sep 12;9:1527-37. doi: 10.2147/CIA.S68557. eCollection 2014.,Figueiro MG,Clin Interv Aging,2014,2014/09/24,PMC4168854,,10.2147/CIA.S68557,
7015,True,False,True,False,False,25178404,30454,Amyloid β and Tau Alzheimer's disease related pathology is reduced by Toll-like receptor 9 stimulation,"Scholtzova H, Chianchiano P, Pan J, Sun Y, Goñi F, Mehta PD, Wisniewski T.",Acta Neuropathol Commun. 2014 Sep 2;2:101. doi: 10.1186/s40478-014-0101-2.,Scholtzova H,Acta Neuropathol Commun,2014,2014/09/03,PMC4171548,,10.1186/s40478-014-0101-2,
7022,True,False,True,False,False,25213579,30389,Response to cholinesterase inhibitors affects lifespan in Alzheimer's disease,"Wattmo C, Londos E, Minthon L.",BMC Neurol. 2014 Sep 10;14:173. doi: 10.1186/s12883-014-0173-4.,Wattmo C,BMC Neurol,2014,2014/09/13,PMC4172846,,10.1186/s12883-014-0173-4,
7023,True,False,True,False,True,25213836,30388,Elevation of brain magnesium prevents synaptic loss and reverses cognitive deficits in Alzheimer's disease mouse model,"Li W, Yu J, Liu Y, Huang X, Abumaria N, Zhu Y, Huang X, Xiong W, Ren C, Liu XG, Chui D, Liu G.",Mol Brain. 2014 Sep 13;7:65. doi: 10.1186/s13041-014-0065-y.,Li W,Mol Brain,2014,2014/09/13,PMC4172865,,10.1186/s13041-014-0065-y,
7026,True,False,False,False,False,25276224,30290,An ensemble-of-classifiers based approach for early diagnosis of Alzheimer's disease: classification using structural features of brain images,"Farhan S, Fahiem MA, Tauseef H.",Comput Math Methods Med. 2014;2014:862307. doi: 10.1155/2014/862307. Epub 2014 Sep 9.,Farhan S,Comput Math Methods Med,2014,2014/10/03,PMC4172935,,10.1155/2014/862307,
